zcomp,nvisits,g,r,i,z,y
0.50,9,2,7,0,0,0
0.55,11,2,7,1,1,0
0.60,13,2,9,1,1,0
0.65,40,2,9,10,15,3
0.67,50,2,9,14,21,5
0.68,56,2,9,16,23,6
0.69,61,2,9,18,26,6
0.695,64,2,9,19,28,7
0.70,66,2,9,20,29,7
0.71,71,2,9,21,30,9
0.72,75,2,9,22,32,11
0.73,79,2,9,23,33,12
0.74,83,2,9,24,34,14
0.745,85,2,9,25,35,15
0.75,88,2,9,26,35,16
0.76,94,2,9,28,39,17
0.77,101,2,9,30,42,18
0.78,108,2,9,33,45,19
0.79,115,2,9,35,49,20
0.80,122,2,9,37,52,21
0.81,131,2,9,42,55,23
0.82,141,2,9,46,59,25
0.85,169,2,9,60,69,30
0.90,230,2,9,81,100,38
0.95,284,2,9,116,110,48